lag,alpha,h_ensemble_direct,h_ensemble_sd,h_cube_mean_direct,h_cube_mean_sd,fit_min,fit_max
1,+,0.23230543536674098,0.23323308951580668,0.22934320970093014,0.22960117340672206,32,160
1,-,0.23791896043241345,0.23880667987463572,0.23470580237952315,0.23513395658260366,32,160
1,+-,0.23064420788375187,0.2316473418073963,0.23010136552325947,0.23050888047424473,32,160
2,+,0.2326612651898957,0.23293229262717746,0.2296882698150444,0.2301366132061931,32,160
2,-,0.23775279426504606,0.2380188544693158,0.23453163052458223,0.23479321241552784,32,160
2,+-,0.2308423258395784,0.23114409338214043,0.23028173712376007,0.23068235529572223,32,160
4,+,0.2320786478798004,0.23390359023511104,0.2290954941022642,0.23079920644895888,32,160
4,-,0.23755062343700079,0.23942475282364914,0.2342563399044903,0.2360002809917854,32,160
4,+-,0.23056048350434455,0.23266177692501708,0.2299422370367291,0.23195324443640686,32,160
