r,lag,alpha,direct_mean,direct_sem,sd_mean,sd_sem,n_cubes_direct,n_cubes_sd
32,1,+,0.551764693846288,0.007953443433840784,0.5515931816465326,0.007665941255196142,20,20
48,1,+,0.6174117795676085,0.010504764030158978,0.6188149615838695,0.010693471422382821,20,20
64,1,+,0.6669239586653004,0.013375434317706372,0.6696174463498858,0.014132963368250337,20,20
80,1,+,0.7014291221289799,0.01554898489268023,0.7033110407865261,0.01584007117180468,20,20
96,1,+,0.7312555994972229,0.01730471456238224,0.7310090886093032,0.017266099657157603,20,20
128,1,+,0.7709810891356603,0.01971847213413721,0.7723788594010934,0.020017539414777366,20,20
160,1,+,0.7959788735662056,0.02060391075452654,0.7970876323303553,0.020667737481649722,20,20
192,1,+,0.819890839453522,0.021803670981510728,0.8200288627381808,0.021571537903875174,20,20
32,1,+-,0.49347123382161284,0.005890324839070679,0.49338441284919965,0.005790520913047134,20,20
48,1,+-,0.5527215461627454,0.007320006304212636,0.5538895081246056,0.007332467879906101,20,20
64,1,+-,0.5952869128212063,0.00859230946173314,0.5979109430673624,0.009129452665661553,20,20
80,1,+-,0.6274136668428777,0.009457454702131995,0.629010530977167,0.009372825810212839,20,20
96,1,+-,0.653728056365089,0.009895405025351883,0.6533347308320865,0.009564527428783285,20,20
128,1,+-,0.6907590615052219,0.010268708618021356,0.6922395250601423,0.010479625860838093,20,20
160,1,+-,0.7125524189919774,0.011011500828935315,0.7138218650142573,0.011003679405523143,20,20
192,1,+-,0.7240725196865412,0.012247643722705074,0.724477320550542,0.012028360795976996,20,20
32,1,-,0.5525540515039171,0.011221288855191348,0.5526131273812839,0.01125164388704482,20,20
48,1,-,0.6176443131700247,0.013889063309520304,0.6187557668803263,0.013819026133887798,20,20
64,1,-,0.6636261335273501,0.01585511162763206,0.6662981203690281,0.016086571239782632,20,20
80,1,-,0.7018997287050684,0.017413265006283103,0.7032854122584513,0.017104037863196007,20,20
96,1,-,0.7317957504360306,0.019042822872142137,0.7314352262303555,0.01875957507253216,20,20
128,1,-,0.7775015108320692,0.022386890006676423,0.7791013031746139,0.022362876486802602,20,20
160,1,-,0.8025419527700915,0.025341400234467692,0.8040972714616063,0.025254932776984172,20,20
192,1,-,0.807316722507934,0.02548934820926316,0.8082135104808623,0.0255471226711691,20,20
32,2,+,0.5518275082885535,0.0079145814227525,0.5522735225654218,0.007950369075860528,20,20
48,2,+,0.616991695414259,0.010429699525108629,0.6172152322987189,0.010268985654057936,20,20
64,2,+,0.6669053331579321,0.013444115477554962,0.6690124648088102,0.013556962703878026,20,20
80,2,+,0.7015181784443091,0.01565289778079755,0.7019357895245668,0.015489778743403711,20,20
96,2,+,0.7312137571696911,0.017319184176576245,0.7329126572101778,0.01768109022047325,20,20
128,2,+,0.7710516552008719,0.019674632440768877,0.7716976640696157,0.019842404799811985,20,20
160,2,+,0.7963922822105312,0.020622199547773737,0.7977988163187224,0.020743441689234747,20,20
192,2,+,0.8198237275560969,0.021790404865215007,0.8202374024546305,0.02174584404409586,20,20
32,2,+-,0.4933244939371454,0.005786139217659108,0.49377826357507415,0.0058590557340937564,20,20
48,2,+-,0.55247166575631,0.007307166399156137,0.5527296821898708,0.007258584134756537,20,20
64,2,+-,0.5953543036837389,0.008614580182539626,0.5974837341858186,0.008808580193799667,20,20
80,2,+-,0.6274099740881922,0.009434845038350799,0.62809677289879,0.009498855656681347,20,20
96,2,+-,0.6537470546149449,0.009953603805359108,0.6549278345284275,0.010339803770546519,20,20
128,2,+-,0.6906411190779288,0.010213464607070967,0.691324241167734,0.010004396178300668,20,20
160,2,+-,0.712521897113698,0.011004994262735646,0.7139244818483501,0.010995629488603302,20,20
192,2,+-,0.7241512012650299,0.012203178798887408,0.7248744843696338,0.01191813493948432,20,20
32,2,-,0.5524207582839525,0.011140561052922517,0.5528925782851644,0.011253238211101082,20,20
48,2,-,0.6176372761941034,0.013946501143506795,0.6181015715759484,0.014017132308761645,20,20
64,2,-,0.6639166959580249,0.015843347614164,0.6660929416871653,0.016072124458507545,20,20
80,2,-,0.7019627763511072,0.01745848165369774,0.703072296997087,0.017856930374912035,20,20
96,2,-,0.7318596876697756,0.01906912406901664,0.7326905131919048,0.01917588067152106,20,20
128,2,-,0.7771661055978308,0.02232076773916888,0.7778515511024484,0.021964225052467513,20,20
160,2,-,0.8022529769950217,0.02533089773487162,0.8037744580791418,0.025237952584251228,20,20
192,2,-,0.8074990772606931,0.025485657937506633,0.8086537794027467,0.025145999146108353,20,20
32,4,+,0.5528846864124259,0.007777513302856823,0.5531777806414755,0.007844777934846354,20,20
48,4,+,0.6165144837392423,0.010640536886488394,0.6190999082840883,0.01067848402659062,20,20
64,4,+,0.6668696897970743,0.013261214036086552,0.6673236184016547,0.013073031996739612,20,20
80,4,+,0.7024973982460312,0.015511233552785707,0.7027617151075826,0.015437045405150132,20,20
96,4,+,0.730097507732974,0.017038166785816194,0.7301107301502332,0.017161819589473083,20,20
128,4,+,0.7708073519980864,0.019733707886985686,0.7737891144522809,0.020153023250833554,20,20
160,4,+,0.7970810183880463,0.020656979064954655,0.8011224705178923,0.02136562431916651,20,20
192,4,+,0.8185784420926462,0.0219108468763146,0.8221056091994546,0.021907393794860515,20,20
32,4,+-,0.4937946542791073,0.005688469295704051,0.49396644074807083,0.006150318152579855,20,20
48,4,+-,0.5521647457041381,0.007272027287782102,0.5547286619457764,0.007431221140736601,20,20
64,4,+-,0.5955227719939298,0.008586165424619258,0.5965013875146744,0.009255583403330814,20,20
80,4,+-,0.6279917348468288,0.009531516561135418,0.6285473430970445,0.00925001802279747,20,20
96,4,+-,0.6534323564198197,0.009906354468857657,0.6533409261394617,0.010041619530549776,20,20
128,4,+-,0.690271175599817,0.010341435371588997,0.6934620651313105,0.010300749853699387,20,20
160,4,+-,0.7128417695169608,0.011119160459324737,0.7168704786261533,0.011747863841265398,20,20
192,4,+-,0.7239762985571283,0.012223850560117298,0.7270623986757802,0.011868527142466358,20,20
32,4,-,0.5530145434908778,0.011218691321016341,0.5531621340850098,0.011611856689584367,20,20
48,4,-,0.6170566234017555,0.01386340951740275,0.6197709224249068,0.01406685728931901,20,20
64,4,-,0.6638562654765376,0.015641792283940352,0.6653160519415137,0.016558697149698175,20,20
80,4,-,0.7023388222132393,0.017697336233477703,0.7033610802681043,0.017526320062222673,20,20
96,4,-,0.7324005496783667,0.019017271739358178,0.732434843513494,0.019016396283553564,20,20
128,4,-,0.7767801250243467,0.022480157209915565,0.7801687769762247,0.02226802996052285,20,20
160,4,-,0.8022872054488867,0.025465796411386146,0.806253573232816,0.025385549739823102,20,20
192,4,-,0.8081610159867003,0.02544253996499671,0.8113440837167083,0.024992384796786546,20,20
